speaker	role	text	extra
			PRESIDENZA DEL PRESIDENTE ROBERTO FICO
			La seduta comincia alle 14.
			Missioni.
ROBERTO FICO	PRESIDENTE	La seduta è aperta.	
			Annunzio della formazione di una componente politica nell’ambito del gruppo parlamentare Misto e affidamento dei poteri attribuiti dal Regolamento.
ROBERTO FICO	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Baldino, Boschi, Cirielli, Del Basso De Caro, Franceschini, Giacomelli, Lotti, Migliore, Orlando, Pizzetti, Ravetto e Terzi sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente tredici, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Votazione per l'elezione di un Segretario di Presidenza, ai sensi dell'articolo 5, commi 4 e 6, del Regolamento (ore 14,04).
ROBERTO FICO	PRESIDENTE	Comunico che è stata autorizzata, ai sensi dell’articolo 14, comma 5, del Regolamento, la formazione della componente politica “Civica Popolare-AP-PSI-Area Civica” nell’ambito del gruppo parlamentare Misto, cui aderiscono i deputati Fausto Longo, Beatrice Lorenzin, Serse Soverini e Gabriele Toccafondi (richiesta pervenuta in data 29 marzo 2018). La deputata Beatrice Lorenzin ne è stata designata rappresentante. Comunico, altresì, che il presidente del gruppo parlamentare Misto, con lettera in data odierna, ha reso noto che la deputata Beatrice Lorenzin è stata nominata vicepresidente del gruppo in rappresentanza della componente politica “Civica Popolare-AP-PSI-Area Civica”. Colleghi, ho il piacere di annunciarvi che lo scorso 26 gennaio la nostra collega Laura Ravetto ha dato alla luce la piccola Clarissa (Applausi). Esprimo i migliori auguri, anche a nome di tutta l’Assemblea, alla mamma, al papà e alla nuova arrivata.	
			PRESIDENZA DELLA VICEPRESIDENTE MARIA ROSARIA CARFAGNA (ORE 14,35)
MARIA ROSARIA CARFAGNA	PRESIDENTE	L'ordine del giorno reca la votazione per schede per l'elezione di un Segretario di Presidenza, ai sensi dell'articolo 5, commi 4 e 6, del Regolamento. Ricordo che, a seguito della votazione per l'elezione di quattro Vicepresidenti, tre Questori e otto Segretari, tenutasi nella seduta di giovedì 29 marzo 2018, non risulta rappresentato nell'Ufficio di Presidenza della Camera il gruppo Misto. Conformemente alla prassi relativa alle votazioni per schede, la chiama sarà effettuata secondo l’ordine alfabetico. Avverto che ciascun deputato può scrivere sulla scheda un solo nome. Ai sensi dell’articolo 5, comma 6, del Regolamento, risulterà eletto il deputato appartenente al gruppo Misto che otterrà il maggior numero di voti. Le schede recanti più di un nominativo saranno considerate nulle. Avverto, inoltre, che, avendo taluni deputati lo stesso cognome, ove si intenda votare per uno di essi, occorrerà indicare sulla scheda - ai fini dell’attribuzione del voto - sia il cognome sia il nome dell’interessato. In mancanza dell’indicazione del nome il voto sarà considerato nullo. Saranno inoltre considerate nulle le schede recanti segni di riconoscimento. Indìco la votazione per schede per l’elezione di un Segretario di Presidenza. Per agevolare le operazioni di voto, invito i deputati ad avvicinarsi al banco della Presidenza seguendo il proprio turno di votazione, che è evidenziato sul tabellone elettronico, evitando quindi di stazionare nell’emiciclo e di rendere così più difficoltosa l’espressione del voto. Invito i deputati segretari a procedere alla chiama dei deputati. (Segue la votazione)	
