speaker	role	text	extra
			PRESIDENZA DEL PRESIDENTE PROVVISORIO ROBERTO GIACHETTI
			La seduta comincia alle 11.
			Missioni.
ROBERTO GIACHETTI	PRESIDENTE	La seduta è aperta.	
			Costituzione dell’Ufficio provvisorio di Presidenza.
ROBERTO GIACHETTI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, l’onorevole Ravetto è l’unica deputata in missione a decorrere dalla seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Saluto del Presidente provvisorio (ore 11,02).
ROBERTO GIACHETTI	PRESIDENTE	Ricordo che la Camera è riunita in qualità di seggio elettorale per l’elezione del suo Presidente. Prima di passare alla votazione si procederà pertanto agli adempimenti necessari alla costituzione del seggio. Procediamo, in primo luogo, alla costituzione dell’Ufficio provvisorio di Presidenza. Ricordo che - ai sensi dell’articolo 2, comma 2, del Regolamento - svolgono le funzioni di Segretari provvisori quattro deputati, scelti fra i Segretari della legislatura precedente secondo l’ordine di anzianità per elezione; in difetto, si risale ai Segretari delle legislature anteriori e, in loro mancanza, si scelgono i deputati più giovani. Chiamo, dunque, ad assumere le funzioni di Segretari provvisori i deputati Fraccaro, Schullian e Cirielli, nella loro qualità di Segretari di Presidenza nella XVII legislatura, nonché il deputato Gregorio Fontana, già Segretario di Presidenza nella XVI legislatura, che invito a prendere posto al banco della Presidenza.	
			Sull’ordine dei lavori (ore 11,13).
ROBERTO GIACHETTI	PRESIDENTE	Onorevoli colleghe e onorevoli colleghi, con l’emozione che è propria di un momento così profondamente solenne, quale l’insediamento dei due rami del Parlamento e, dunque, l’avvio ufficiale di questa XVIII legislatura, voglio darvi il mio affettuoso benvenuto. Consentitemi, prima di ogni cosa, di rivolgere il saluto deferente di quest’Aula e mio personale al Presidente della Repubblica, Sergio Mattarella (Applausi), che, nel suo ruolo di garante dell’indipendenza e dell’integrità della nazione, quotidianamente interpreta, con saggezza ed equilibrio, il dettato costituzionale. Saluto la Presidente della Camera della scorsa legislatura, Laura Boldrini, e con lei i Vicepresidenti Luigi Di Maio, Marina Sereni e Simone Baldelli (Applausi). Mai sono mancate tra noi collaborazione e solidarietà, premesse indispensabili per una conduzione, la migliore possibile, di questa istituzione. Permettetemi di ringraziare anche tutto il personale della Camera per la professionalità e la dedizione con le quali ha sempre assicurato il buon andamento dei nostri lavori (Applausi). Ringrazio, infine, questa Assemblea sovrana, le elette e gli eletti, chi varca per la prima volta la soglia di quest’Aula e chi la ricalca e vi rivolgo il mio augurio più sincero di buon lavoro. A tale riguardo, è doveroso constatare per questa legislatura una maggiore presenza di donne e giovani parlamentari rispetto alle precedenti; tuttavia, in riferimento alla presenza femminile in particolare, il percorso non è compiuto: dobbiamo lavorare ancora e meglio per raggiungere traguardi più ambiziosi. A proposito di donne, colleghe e colleghi, pur nel rispetto delle autonome scelte che il Parlamento dovrà assumere nel tempo avanti a noi, lasciatemi rivolgere l’auspicio che, sul tema del femminicidio, che sta divenendo una vera emergenza nel nostro Paese, tutti, ma davvero tutti, ci si impegni a realizzare ulteriori interventi legislativi volti non solo alla repressione ma anche e soprattutto alla prevenzione del fenomeno (Applausi). Ma non basta: c’è un evidente problema culturale, ed è arrivato il momento che noi - mi rivolgo a noi, colleghi uomini - ce ne assumiamo la responsabilità con la consapevolezza di quanto sia indispensabile un nostro impegno diretto e in prima linea in qualunque situazione esercitiamo la nostra volontà (Applausi). Ricorre quest’anno il quarantennale di uno degli attentati più drammatici e vili della storia repubblicana, il rapimento e l’assassinio del Presidente Aldo Moro e degli agenti della sua scorta: Raffaele Iozzino, Oreste Leonardi, Domenico Ricci, Giulio Rivera e Francesco Zizzi (Prolungati applausi), barbaramente uccisi per mano di uomini e donne senza pietà, nemici dello Stato e della democrazia. Nella giornata di ieri, ancora una volta, è stato profanato il monumento, situato in via Mario Fani, che ne ricorda il sacrificio. Agli autori di questo scempio oltraggioso va la più ferma e dura condanna di quest’Aula. Sappiano questi individui che quella storia non tornerà mai più (Applausi)! Ricade in queste ore un altro anniversario di un tragico evento che vive nella memoria del nostro Paese: nel marzo del 1944, a Roma, durante l’occupazione tedesca, si consumava l’eccidio delle Fosse Ardeatine, una rappresaglia della furia nazista che vide trucidate 335 persone. Abbiamo il dovere di custodire il ricordo di quel sacrificio, figlio della resistenza alla ferocia della dittatura, in nome della libertà, della democrazia e della pace (Applausi). Care colleghe e cari colleghi, il Parlamento è il cuore della democrazia, è il luogo di incrocio di quegli antagonismi politici che hanno il dovere di trovare la giusta dialettica per concorrere compiutamente all’interesse generale. La campagna elettorale è finita, si apre oggi un’altra fase. Nella naturale diversità di fede politica, nella distanza delle opinioni e anche nella più aspra divergenza delle posizioni, l’urgenza che più fortemente dobbiamo avvertire è quella di onorare il mandato che i cittadini ci hanno conferito, accordandoci la loro fiducia. La prima azione da compiere per non tradire questa fiducia è parlare dentro e fuori queste Aule una lingua di verità. Ebbene, la prima verità che dobbiamo avere il coraggio di rivelarci, senza reticenze e senza ambiguità, riguarda la complicità di parte di noi, classe politica, nella mortificazione delle istituzioni. La democrazia pretende impegno e fatica, la rappresentanza impone responsabilità e rigore. Per imprimere un mutamento positivo alla dinamica democratica è necessario accrescere la consapevolezza del compito di cui siamo investiti, intervenendo prioritariamente sul nostro comportamento. Permettetemi a questo punto qualche rilievo personale, figlio della mia esperienza parlamentare e della mia formazione politica. Non è un fatto di lessico, non mi appassiona l’estetica, ma l’etica del confronto, che, come dicevo, deve fondarsi sulla verità e non su logiche di interessi di parte o peggio di propaganda permanente. Mi rivolgo perciò a tutti gli attori della scena pubblica. Mi rivolgo all’informazione, che, severa e vigile, ci aiuti in questo ambizioso proposito; ai cittadini, che siano parte attiva di un reale processo di rigenerazione democratica; a noi eletti, che rappresentiamo il Paese e pertanto abbiamo il dovere di rendere inequivocabile il primato della politica quale unico vero strumento di cambiamento della realtà. Dobbiamo ritrovare la forza di trasmettere a noi stessi e ai nostri concittadini un’altra verità semplice, senza che si intraveda nelle nostre parole l’ombra della vergogna o dell’indugio: la politica è bella. Facciamo in modo che questa, attraverso il nostro agire quotidiano, smetta di essere un bersaglio e torni ad essere percepita come un vero orizzonte di speranza, perché la politica, che nasce nelle piazze e nelle strade, è qui dentro, in queste istituzioni, che trova il suo pieno compimento (Applausi). Il nostro lavoro ha bisogno di studio, di ricerca, di dedizione e di assiduità, non di superficialità o di improvvisazione. Noi siamo qui in nome e per conto del popolo italiano che ci ha eletto e quanto più grande sarà stata la nostra capacità di interpretarne le necessità, tanto più positivamente avremo influito su una porzione della sua felicità. Dunque, a conclusione del mio saluto e a testimonianza di quella particolare forma d’amore che nasce nella politica e per la politica, lasciatemi usare le parole di una persona che ha fatto della politica la sua vita e che, pur non avendo avuto responsabilità primarie nelle istituzioni, con il suo impegno e la sua passione, ha assicurato al nostro Paese conquiste di grande civiltà e democrazia, Marco Pannella (Applausi). Tra i tanti pensieri contenuti nella raccolta “Una libertà felice” si legge: “Per questo annoto, e per questo registro. Perché la conquista della democrazia passa anche in un abbraccio, in una discussione sul liberalismo e un’altra sulle rivoluzioni, passa per ogni persona e per ogni idea capace di migliorare il mondo. Passa per ognuna delle sciocchezze che ci vengono in mente e che abbiamo la voglia e la forza di comunicare e condividere. L’importante è osare ed usarsi, l’importante è accettare ogni sfida che può guadagnare un grammo in più di libertà. Finché siamo uomini, finché siamo vivi, abbiamo il diritto e il dovere della partecipazione. Dobbiamo esserci, esserci per gli altri e per noi, dobbiamo lottare perché gli altri ci ascoltino e dobbiamo lottare con noi stessi per imparare ad ascoltare gli altri. Dobbiamo, soprattutto, essere pronti a testimoniare l’amore”. Buon lavoro a tutti noi (Applausi)!	
