speaker	role	text	extra
			PRESIDENZA DEL PRESIDENTE ROBERTO FICO
			La seduta comincia alle 15.
ROBERTO FICO	PRESIDENTE	La seduta è aperta. Invito il deputato segretario a dare lettura del processo verbale della seduta precedente.	
RAFFAELE VOLPI	Segretario	legge il processo verbale della seduta di ieri.	
			Missioni.
ROBERTO FICO	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Nomina dei componenti la Giunta per il Regolamento (ore 15,03).
ROBERTO FICO	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Cancelleri, Carinelli, De Filippo, Gentiloni Silveri, Migliore, Padoan e Toccafondi sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente ventuno, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Votazione per l’elezione di un Segretario di Presidenza, ai sensi dell’articolo 5, commi 5 e 6, del Regolamento (ore 15,04).
ROBERTO FICO	PRESIDENTE	Comunico che ho chiamato a far parte della Giunta per il Regolamento, a norma dell’articolo 16, comma 1, del Regolamento, i seguenti deputati: Federica Dieni, Rosa Maria Di Giorgi, Vittorio Ferraresi, Emanuele Fiano, Guido Guidesi, Elena Maccanti, Anna Macina, Eugenio Saitta, Francesco Paolo Sisto ed Elio Vito.	
			PRESIDENZA DELLA VICEPRESIDENTE MARIA EDERA SPADONI (ore 15,30)
MARIA EDERA SPADONI	PRESIDENTE	L’ordine del giorno reca la votazione per schede per l’elezione di un Segretario di Presidenza, ai sensi dell’articolo 5, commi 5 e 6, del Regolamento. Ricordo che a tale elezione si procede a seguito della richiesta formulata, con lettera in data 12 aprile, dal gruppo Misto, che, in ragione di modificazioni intervenute, si è venuto a trovare privo di un proprio rappresentante nell’Ufficio di Presidenza. Conformemente alla prassi relativa alle votazioni per schede, la chiama sarà effettuata secondo l’ordine alfabetico. Avverto che ciascun deputato può scrivere sulla scheda un solo nome. Le schede recanti più di un nominativo saranno considerate nulle. Avverto inoltre che, avendo taluni deputati lo stesso cognome, ove si intenda votare per uno di essi, occorrerà indicare sulla scheda - ai fini dell’attribuzione del voto - sia il cognome sia il nome dell’interessato. In mancanza dell’indicazione del nome il voto sarà considerato nullo. Saranno altresì considerate nulle le schede recanti segni di riconoscimento. Ai sensi dell’articolo 5, comma 6, del Regolamento, risulterà eletto il deputato appartenente al gruppo Misto che otterrà il maggior numero di voti. Indìco la votazione per schede per l’elezione di un Segretario di Presidenza. Avverto che, come da prassi, al fine di garantire un ordinato svolgimento della votazione, la Presidenza accoglierà un numero di richieste di anticipazione del voto fino ad un massimo del tre per cento della consistenza numerica di ciascun gruppo. Per agevolare le operazioni di voto, invito i deputati ad avvicinarsi al banco della Presidenza, seguendo il proprio turno di votazione, che è evidenziato sul tabellone elettronico, evitando quindi di stazionare nell’emiciclo e di rendere così più difficoltose le operazioni di voto. Invito i deputati segretari a procedere alla chiama. (Segue la votazione). (Segue la votazione).	
MARIA EDERA SPADONI	PRESIDENTE	Comunico che lo scorso 18 marzo la nostra collega Vittoria Baldino ha dato alla luce il piccolo Gaetano. I migliori auguri dalla Presidenza, anche a nome di tutta l’Assemblea, alla mamma, al papà e al nuovo arrivato (Applausi). (Segue la votazione).	
			La seduta, sospesa alle 16,55, è ripresa alle 17,25.
			Comunicazione del risultato della votazione per l'elezione di un Segretario di Presidenza, ai sensi dell'articolo 5, commi 5 e 6, del Regolamento.
MARIA EDERA SPADONI	PRESIDENTE	Dichiaro chiusa la votazione. Invito i deputati segretari a procedere, nella sala dei Ministri, allo spoglio delle schede. Sospendo la seduta fino al termine delle operazioni di scrutinio.	
			Modifica nella composizione dell’Ufficio di presidenza di un gruppo parlamentare e di una componente politica del gruppo parlamentare Misto.
