speaker	role	text	extra
			PRESIDENZA DEL PRESIDENTE ROBERTO FICO
			La seduta comincia alle 10,30.
ROBERTO FICO	PRESIDENTE	La seduta è aperta. Invito il deputato segretario a dare lettura del processo verbale della seduta precedente.	
ALESSANDRO AMITRANO		Segretario, legge il processo verbale della seduta del 13 luglio 2022.	
			Missioni.
ROBERTO FICO	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Consegna da parte del Presidente del Consiglio dei Ministri del testo di sue comunicazioni.
ROBERTO FICO	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati in missione a decorrere dalla seduta odierna sono complessivamente 98, come risulta dall'elenco consultabile presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto stenografico della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
ROBERTO FICO	PRESIDENTE	L’ordine del giorno reca la consegna da parte del Presidente del Consiglio dei Ministri del testo di sue comunicazioni. Ha facoltà di parlare il Presidente del Consiglio dei Ministri, Mario Draghi. Prego.	
MARIO DRAGHI	Presidente del Consiglio dei Ministri	Signor Presidente, le consegno il testo delle comunicazioni da me rese al Senato della Repubblica ai fini del dibattito di domani. Ringrazio le onorevoli deputate e gli onorevoli deputati per il contributo che daranno (Applausi).	
			Ordine del giorno della prossima seduta.
ROBERTO FICO	PRESIDENTE	La ringrazio, signor Presidente del Consiglio dei Ministri, per la consegna del testo delle comunicazioni da lei rese nella giornata odierna al Senato della Repubblica, che saranno pubblicate integralmente in calce al resoconto della seduta odierna. Ricordo che, secondo quanto convenuto in sede di Conferenza dei presidenti di gruppo nella riunione di ieri, la discussione sulle comunicazioni del Governo avrà luogo nella giornata di giovedì 21 luglio, a partire dalle ore 9, e proseguirà con la replica del Presidente del Consiglio dei Ministri e le dichiarazioni di voto dei rappresentanti dei gruppi e delle componenti politiche del gruppo Misto. Seguirà il voto per appello nominale.	
			La seduta termina alle 10,37.
			TESTI DEGLI INTERVENTI DI CUI È STATA AUTORIZZATA LA PUBBLICAZIONE IN CALCE AL RESOCONTO STENOGRAFICO DELLA SEDUTA ODIERNA: COMUNICAZIONI DEL PRESIDENTE DEL CONSIGLIO DEI MINISTRI
ROBERTO FICO	PRESIDENTE	Comunico l'ordine del giorno della prossima seduta. Giovedì 21 luglio 2022 - Ore 9: 1. Discussione sulle comunicazioni del Governo.	
			IL CONSIGLIERE CAPO
			DEL SERVIZIO RESOCONTI
			ESTENSORE DEL PROCESSO VERBALE
			Dott. Renzo Dickmann
			Licenziato per la stampa alle 12,30.
