speaker	role	text	extra
			PRESIDENZA DELLA VICEPRESIDENTE MARIA ROSARIA CARFAGNA
			La seduta comincia alle 11.
MARIA ROSARIA CARFAGNA	PRESIDENTE	La seduta è aperta. Invito la deputata segretaria a dare lettura del processo verbale della seduta precedente.	
SILVANA ANDREINA COMAROLI	Segretaria	legge il processo verbale della seduta di ieri.	
			Missioni.
MARIA ROSARIA CARFAGNA	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Rinvio dello svolgimento di un’interpellanza e di interrogazioni.
MARIA ROSARIA CARFAGNA	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Ascari, Colletti, Covolo, Luigi Di Maio, Gebhard, Grande, Lupi, Magi, Melilli, Orlando, Pastorino, Rizzo, Schullian e Tasso sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente 92, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			La seduta, sospesa alle 11,05, è ripresa alle 16.
			PRESIDENZA DEL PRESIDENTE ROBERTO FICO
			Missioni.
ROBERTO FICO	PRESIDENTE	L’ordine del giorno reca lo svolgimento di un’interpellanza e di interrogazioni. Tuttavia, alla luce della situazione politica e secondo le intese intercorse tra tutti i gruppi, non si darà luogo allo svolgimento di tali atti. Pertanto, la seduta è sospesa e riprenderà alle ore 16.	
			Modifica nella composizione di gruppi parlamentari e cessazione di una componente politica del gruppo parlamentare Misto.
ROBERTO FICO	PRESIDENTE	Comunico che non vi sono ulteriori deputati in missione alla ripresa pomeridiana della seduta. I deputati in missione sono complessivamente 91, come risulta dall’elenco depositato presso la Presidenza, che sarà pubblicato nell’allegato A al resoconto della seduta odierna.	
			Modifica nella composizione del Comitato per la sicurezza della Repubblica.
ROBERTO FICO	PRESIDENTE	Comunico che, con lettera pervenuta in data odierna, il deputato Fausto Longo, già iscritto alla componente politica del gruppo parlamentare Misto “Popolo Protagonista-Alternativa Popolare-Partito Socialista Italiano”, ha dichiarato di aderire alla componente politica del gruppo parlamentare Misto “MAIE-Movimento Associativo Italiani all’Estero”. Il rappresentante di tale componente, con lettera pervenuta in pari data, ha comunicato di aver accolto la richiesta. La componente politica del gruppo parlamentare Misto “Popolo Protagonista-Alternativa Popolare-Partito Socialista Italiano” è quindi da ritenersi sciolta, essendo venuto meno il requisito minimo di tre deputati richiesto per la formazione di componenti politiche in seno al gruppo Misto.	
			In morte dell'onorevole Rocco Caccavari.
ROBERTO FICO	PRESIDENTE	Comunico che, in data odierna, ho chiamato a far parte del Comitato per la sicurezza della Repubblica il deputato Maurizio Cattoi, in sostituzione del deputato Antonio Zennaro, dimissionario.	
			Annunzio delle dimissioni del Governo.
ROBERTO FICO	PRESIDENTE	Comunico che è deceduto l’onorevole Rocco Caccavari, già membro della Camera dei deputati dalla XI alla XIII legislatura. La Presidenza della Camera ha già formulato ai familiari le espressioni della più sentita partecipazione al loro dolore, che desidera ora rinnovare anche a nome di tutta l’Assemblea.	
			Sui lavori dell’Assemblea.
ROBERTO FICO	PRESIDENTE	Comunico che, in data odierna, il Presidente del Consiglio dei Ministri mi ha inviato la seguente lettera: ”Onorevole Presidente, La informo che in data odierna ho rassegnato al Capo dello Stato le mie dimissioni. Il Presidente della Repubblica si è riservato di decidere e ha invitato il Governo a restare in carica per il disbrigo degli affari correnti. Con viva cordialità, Firmato: Giuseppe Conte”.	
			La seduta termina alle 16,05.
			IL CONSIGLIERE CAPO
			DEL SERVIZIO RESOCONTI
			ESTENSORE DEL PROCESSO VERBALE
			Dott. Renzo Dickmann
			Licenziato per la stampa alle 17,15.
