speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE ANDREA MANDELLI
			La seduta comincia alle 12.
ANDREA MANDELLI	PRESIDENTE	La seduta è aperta. Invito la deputata segretaria a dare lettura del processo verbale della seduta precedente.	
FEDERICA DAGA	Segretaria	legge il processo verbale della seduta del 20 gennaio 2022.	
			Missioni.
ANDREA MANDELLI	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			In morte dell'onorevole Antonio Borrometi.
ANDREA MANDELLI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Ascani, Bergamini, Brescia, Brunetta, Colletti, D’Inca’, Dadone, Ilaria Fontana, Franceschini, Gelmini, Giacomoni, Invernizzi, Losacco, Macina, Marattin, Mule’, Orlando, Rizzo, Sarli, Sasso, Carlo Sibilia e Leda Volpi sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente 28, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Proclamazione di una deputata subentrante.
ANDREA MANDELLI	PRESIDENTE	Comunico che è deceduto l'onorevole Antonio Borrometi, già membro della Camera dei deputati nella XIII legislatura. La Presidenza della Camera ha già formulato ai familiari le espressioni della più sentita partecipazione al loro dolore, che desidera ora rinnovare anche a nome dell'Assemblea.	
			La seduta termina alle 12,05.
			IL CONSIGLIERE CAPO
			DEL SERVIZIO RESOCONTI
			ESTENSORE DEL PROCESSO VERBALE
			Dott. Renzo Dickmann
			Licenziato per la stampa alle 12,30.
