speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE ETTORE ROSATO
			La seduta comincia alle 9,30.
ETTORE ROSATO	PRESIDENTE	La seduta è aperta. Invito la deputata segretaria a dare lettura del processo verbale della seduta precedente.	
FEDERICA DAGA	Segretaria	legge il processo verbale della seduta del 13 marzo 2019.	
			Missioni.
ETTORE ROSATO	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Proclamazione di una deputata subentrante.
ETTORE ROSATO	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Amitrano, Battelli, Brescia, Businarolo, Colletti, Colucci, D’Uva, Giachetti, Grande, Lollobrigida, Ruocco, Siragusa, Valente, Vignaroli e Villarosa sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente settantotto, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Modifica nella composizione della Commissione parlamentare per la semplificazione.
ETTORE ROSATO	PRESIDENTE	Dovendosi procedere alla proclamazione di un deputato, a seguito dell’accettazione delle dimissioni dal mandato parlamentare del deputato Guido Crosetto nella seduta del 13 marzo 20019, comunico che la Giunta delle elezioni ha accertato, nella seduta svolta in pari data - ai sensi dell’articolo 86, comma 1, del testo unico delle leggi per l’elezione della Camera dei deputati - che la candidata che, nella lista n. 13 - Fratelli d’Italia con Giorgia Meloni nella V circoscrizione Lombardia 3, nell’ambito del collegio plurinominale 02, segue immediatamente l’ultimo degli eletti, nell’ordine progressivo di lista, risulta essere Lucrezia Maria Benedetta Mantovani. Do atto alla Giunta di questo accertamento e proclamo deputata, a norma dell’articolo 17-bis, comma 3, del Regolamento, per la V circoscrizione Lombardia 3, nell’ambito del collegio plurinominale 02, Lucrezia Maria Benedetta Mantovani. Si intende che da oggi decorre il termine di venti giorni per la presentazione di eventuali ricorsi.	
			Sui lavori dell’Assemblea.
ETTORE ROSATO	PRESIDENTE	Comunico che il Presidente della Camera ha chiamato a far parte della Commissione parlamentare per la semplificazione il deputato Maurizio Carrara, in sostituzione del deputato Galeazzo Bignami, dimissionario.	
			Ordine del giorno della prossima seduta.
ETTORE ROSATO	PRESIDENTE	Avverto che nella riunione della Conferenza dei presidenti di gruppo di ieri si è convenuto che nella seduta di martedì 19 marzo, con inizio alle ore 10,30, avrà luogo la discussione congiunta delle comunicazioni del Presidente del Consiglio dei ministri in vista del Consiglio europeo del 21 e 22 marzo e sul Documento d’intesa tra il Governo della Repubblica italiana e il Governo della Repubblica Popolare cinese sulla collaborazione all’interno del progetto economico “Via della Seta”. Il Presidente del Consiglio svolgerà un unico intervento introduttivo, cui seguiranno gli interventi nell’ambito di una discussione congiunta, la replica e l’espressione del parere sulle risoluzioni presentate. Seguirà un’unica fase di dichiarazioni di voto, al termine della quale saranno poste in votazione le risoluzioni presentate. La relativa organizzazione dei tempi sarà pubblicata nell’allegato A al resoconto stenografico della seduta odierna (Vedi l’allegato A). Avverto, altresì, che nell’allegato A al resoconto stenografico della seduta odierna sarà pubblicata l’organizzazione dei tempi per l’esame della mozione concernente iniziative di politica economica, alla luce dei recenti dati economici (Vedi l’allegato A).	
			La seduta termina alle 9,35.
			IL CONSIGLIERE CAPO
			DEL SERVIZIO RESOCONTI
			ESTENSORE DEL PROCESSO VERBALE
			Dott. Renzo Dickmann
			Licenziato per la stampa alle 11.
