speaker	role	text	extra
			PRESIDENZA DEL PRESIDENTE ROBERTO FICO
			La seduta comincia alle 10,05.
ROBERTO FICO	PRESIDENTE	La seduta è aperta. Invito la deputata segretaria a dare lettura del processo verbale della seduta precedente.	
AZZURRA PIA MARIA CANCELLERI		Segretaria, legge il processo verbale della seduta del 20 giugno 2018.	
			Missioni.
ROBERTO FICO	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Annunzio della presentazione di un disegno di legge di conversione e sua assegnazione a Commissione in sede referente (ore 10,11).
ROBERTO FICO	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Bergamini, Bitonci, Bonafede, Buffagni, Caiata, Castelli, Castiello, Cirielli, Cominardi, Davide Crippa, D’Incà, D’Uva, De Micheli, Del Re, Delrio, Luigi Di Maio, Di Stefano, Durigon, Fantinati, Ferraresi, Gregorio Fontana, Lorenzo Fontana, Fraccaro, Garavaglia, Gava, Gelmini, Giorgetti, Grillo, Guidesi, Manzato, Micillo, Molteni, Morrone, Picchi, Rixi, Rampelli, Rosato, Carlo Sibilia, Spadoni, Tofalo, Vacca, Valbusa, Valente e Villarosa sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente quarantotto, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
ROBERTO FICO	PRESIDENTE	Invito la deputata segretaria a dare lettura delle comunicazioni pervenute alla Presidenza.	
			Annunzio della costituzione delle Commissioni permanenti.
AZZURRA PIA MARIA CANCELLERI	Segretaria	legge: Il Ministro per i Rapporti con il Parlamento e la democrazia diretta, con lettera in data 22 giugno 2018, ha presentato alla Presidenza il seguente disegno di legge, che è stato assegnato, ai sensi dell’articolo 96-bis, comma 1, del Regolamento, in sede referente, alla II Commissione (Giustizia): “Conversione in legge del decreto-legge 22 giugno 2018, n. 73, recante misure urgenti e indifferibili per assicurare il regolare e ordinato svolgimento dei procedimenti e dei processi penali nel periodo necessario a consentire interventi di edilizia giudiziaria per il Tribunale di Bari e la Procura della Repubblica presso il medesimo tribunale” (764) - Parere delle Commissioni I e V. Il suddetto disegno di legge sarà altresì assegnato al Comitato per la legislazione, non appena costituito, ai fini dell’espressione del parere previsto dall’articolo 96-bis, comma 1, del Regolamento.	
			Modifica nella composizione dell’ufficio di presidenza e affidamento dei poteri attribuiti dal Regolamento nell’ambito di un gruppo parlamentare.
AZZURRA PIA MARIA CANCELLERI	Segretaria	legge: Comunico che, nelle rispettive sedute di giovedì 21 giugno 2018, le Commissioni permanenti hanno proceduto, ai sensi dell’articolo 20 del Regolamento, alla propria costituzione, che è risultata la seguente: Affari costituzionali, della Presidenza del Consiglio e Interni (I): presidente: Giuseppe Brescia; vicepresidenti: Gianluca Vinci e Annagrazia Calabria; segretari: Simona Bordonali e Marco Di Maio; Giustizia (II): presidente: Giulia Sarti; vicepresidenti: Riccardo Augusto Marchetti e Franco Vazio; segretari: Flavio Di Muro e Giusi Bartolozzi; Affari esteri e comunitari (III): presidente: Marta Grande; vicepresidenti: Paolo Grimoldi e Piero Fassino; segretari: Vito Comencini e Michaela Biancofiore; Difesa (IV): presidente: Gianluca Rizzo; vicepresidenti: Marica Fantuz e Roger De Menech; segretari: Francesco Zicchieri e Maria Antonia Fascina; Bilancio, tesoro e programmazione (V): presidente: Claudio Borghi; vicepresidenti: Giuseppe Buompane e Stefania Prestigiacomo; segretari: Nunzio Angiola e Stefano Fassina; Finanze (VI): presidente: Carla Ruocco: vicepresidenti: Alberto Luigi Gusmeroli e Sestino Giacomoni; segretari: Laura Cavandoli e Claudio Mancini; Cultura, scienza e istruzione (VII): presidente: Luigi Gallo; vicepresidenti: Giorgia Latini e Paola Frassinetti; segretari: Angela Colmellere e Gabriele Toccafondi; Ambiente, territorio e lavori pubblici (VIII): presidente: Alessandro Manuel Benvenuto; vicepresidenti: Patrizia Terzoni e Alessio Butti; segretari: Antonio Federico e Albrecht Plangger; Trasporti, poste e telecomunicazioni (IX): presidente: Alessandro Morelli; vicepresidenti: Diego De Lorenzis e Deborah Bergamini; segretari: Guia Termini e Raffaella Paita; Attività produttive, commercio e turismo (X): presidente: Barbara Saltamartini; vicepresidenti: Luca Carabetta e Gianluca Benamati; segretari: Rachele Silvestri e Benedetta Fiorini; Lavoro pubblico e privato (XI): presidente: Andrea Giaccone; vicepresidenti: Davide Tripiedi e Renata Polverini; segretari: Tiziana Ciprini e Carla Cantone; Affari sociali (XII): presidente: Marialucia Lorefice; vicepresidenti: Rossana Boldi e Michela Rostan; segretari: Arianna Lazzarini e Marcello Gemmato; Agricoltura (XIII): presidente: Filippo Gallinella; vicepresidenti: Mario Lolini e Susanna Cenni; segretari: Carmelo Lo Monte e Luca De Carlo; Politiche dell’Unione europea (XIV): presidente: Sergio Battelli; vicepresidenti: Andrea Crippa e Marina Berlinghieri; segretari: Matteo Luigi Bianchi e Cosimo Sibilia.	
			Votazione per l'elezione di tre Segretari di Presidenza, ai sensi dell'articolo 5, comma 8, del Regolamento (ore 10,18).
AZZURRA PIA MARIA CANCELLERI	Segretaria	legge: Comunico che, con lettera pervenuta in data 22 giugno 2018, il presidente del gruppo parlamentare Lega-Salvini Premier ha reso noto che, in data 19 giugno 2018, l’assemblea del gruppo ha nominato: tesoriere il deputato Massimiliano Capitanio, in sostituzione del deputato Massimo Garavaglia; vicepresidenti i deputati Dimitri Coin, Alessandro Pagano, Ugo Parolo. Ai deputati Giulia Zanotelli ed Edoardo Ziello è stato, inoltre, affidato l’esercizio dei poteri attribuiti in caso di assenza o impedimento del presidente, secondo quanto previsto dall’articolo 15, comma 2, del Regolamento della Camera. L’ufficio di presidenza del gruppo è, pertanto, così composto: presidente: Riccardo Molinari; vicepresidente vicario: Fabrizio Cecchetti; vicepresidenti: Dimitri Coin, Alessandro Pagano, Ugo Parolo e Francesco Zicchieri; tesoriere: Massimiliano Capitanio; delegati d’Aula: Giulia Zanotelli ed Edoardo Ziello.	
			PRESIDENZA DELLA VICEPRESIDENTE MARIA ROSARIA CARFAGNA (ore 10,35)
