speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE FABIO RAMPELLI
			La seduta comincia alle 12,35.
			Missioni.
FEDERICA DAGA	Segretaria	legge il processo verbale della seduta del 9 agosto 2021.	
			Annunzio di petizioni.
FABIO RAMPELLI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Amitrano, Bergamini, Boschi, Casa, D’Incà, Di Stefano, Durigon, Fassino, Ilaria Fontana, Gava, Gelmini, Guerini, Macina, Molinari, Orlando, Patassini, Carlo Sibilia e Tripiedi sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente 23, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
FABIO RAMPELLI	PRESIDENTE	Invito la deputata segretaria a dare lettura delle petizioni pervenute alla Presidenza, che saranno trasmesse alle sottoindicate Commissioni.	
			Annunzio della presentazione di disegni di legge di conversione e loro assegnazione a Commissioni in sede referente.
FEDERICA DAGA	Segretaria	legge: Sergio Iacomoni, da Roma, chiede modifiche dell'articolo 24 della legge 5 maggio 2009, n. 42, in materia di denominazione del comune e della città metropolitana di Roma (794) - alla I Commissione (Affari costituzionali); Aniello Traino, da Neirone (Genova), chiede disposizioni volte a promuovere la pratica amatoriale e agonistica del tennis per persone ipovedenti o affette da cecità (795) - alla XII Commissione (Affari sociali); Gabriella Cucchiara, da Roma, chiede la presenza di una guardia giurata con diritto di verbalizzazione di eventuali violazioni all’interno degli uffici postali (796) - alla IX Commissione (Trasporti); Angelo Di Lorenzo e Lillo Massimiliano Musso, da Roma, chiedono che non sia prorogato lo stato di emergenza nazionale (797) - alla XII Commissione (Affari sociali); Ivana Gaveglio, da Carmagnola (Torino), e numerosi altri cittadini chiedono che non sia realizzato un deposito per lo stoccaggio di rifiuti radioattivi nel territorio del comune di Carmagnola (798) - alla VIII Commissione (Ambiente); Alessandro Amico, da Acireale (Catania), chiede l’abrogazione del decreto-legge 26 aprile 1993, n. 122, convertito, con modificazioni, dalla legge 25 giugno 1993, n. 205 (cosiddetta “legge Mancino”) (799) - alla II Commissione (Giustizia); Giada Bigetti, da Roma, e altri cittadini chiedono: l’istituzione di una Commissione parlamentare di inchiesta per accertare il numero di decessi effettivamente attribuibili al COVID-19 (800) - alla XII Commissione (Affari sociali); che sia effettuata una valutazione approfondita e urgente della sicurezza dei vaccini contro il COVID-19 (801) - alla XII Commissione (Affari sociali); Francesca Sappia, da Roma, e altri cittadini chiedono un’analisi approfondita sul rapporto rischi-benefìci derivanti dall’uso prolungato di dispositivi di protezione individuale dal COVID-19, soprattutto per quanto riguarda la popolazione scolastica (802) - alla XII Commissione (Affari sociali); Silvana Colantoni e Francesca Sappia, da Roma, chiedono l’individuazione di nuove e più affidabili modalità per accertare la positività al COVID-19 (803) - alla XII Commissione (Affari sociali); Fabio Barone, da Borgaro Ticinese (Torino), e altri cittadini chiedono l’approvazione di norme per disciplinare l’attività di lombricoltura, nonché l’equiparazione dei lombricoltori agli agricoltori a fini fiscali (804) - alla XIII Commissione (Agricoltura Domenico Puleio, da Roma, chiede iniziative per la dichiarazione di nullità delle clausole della convenzione ANAS-ASPI del 2007 relative all’estinzione anticipata del rapporto concessorio con ASPI e per l’apertura di un contenzioso per il risarcimento dei danni subiti dallo Stato, nonché la gestione pubblica delle autostrade e il rafforzamento dei sistemi di controllo da parte dello Stato (805) - alla VIII Commissione (Ambiente); Cristian Stevanato, da Piazzola sul Brenta (Padova), chiede: norme in materia di indicazioni obbligatorie sulle confezioni dei vaccini pediatrici (806) - alla XII Commissione (Affari sociali); norme per assicurare maggiore trasparenza nelle procedure di affidamento dei minori a comunità o a case famiglia e minore discrezionalità per i servizi sociali (807) - alla II Commissione (Giustizia); norme per la regolamentazione dell'esercizio della prostituzione (808) - alla II Commissione (Giustizia); iniziative per combattere il fenomeno della scomparsa dei minori (809) - alla I Commissione (Affari costituzionali); iniziative per la fuoriuscita dell'Italia dall’Unione europea e dalla NATO (810) - alla III Commissione (Affari esteri); interventi per impedire la riapertura dei manicomi (811) - alla XII Commissione (Affari sociali); Piero D’Olimpio, da Pordenone, chiede modifiche all’articolo 119, comma 3, del decreto-legge 19 maggio 2020, n. 34, convertito, con modificazioni, dalla legge 17 luglio 2020, n. 77, in materia di interventi di dimensionamento del cappotto termico e del cordolo sismico (812) – alla VIII Commissione (Ambiente).	
			Annunzio di un’informativa urgente.
FABIO RAMPELLI	PRESIDENTE	Il Ministro per i Rapporti con il Parlamento, con lettera in data 23 agosto 2021, ha presentato alla Presidenza il seguente disegno di legge, che è stato assegnato, ai sensi dell'articolo 96-bis, comma 1, del Regolamento, in sede referente, alla I Commissione (Affari costituzionali): "Conversione in legge del decreto-legge 17 agosto 2021, n. 117, recante disposizioni urgenti concernenti modalità operative precauzionali e di sicurezza per la raccolta del voto nelle consultazioni elettorali dell’anno 2021" (3269) – Parere delle Commissioni III, V e XII e della Commissione parlamentare per le questioni regionali. Il suddetto disegno di legge, ai fini dell'espressione del parere previsto dal comma 1 del predetto articolo 96-bis, è stato altresì assegnato al Comitato per la legislazione. Il Ministro per i Rapporti con il Parlamento, con lettera in data 24 agosto 2021, ha presentato alla Presidenza il seguente disegno di legge, che è stato assegnato, ai sensi dell'articolo 96-bis, comma 1, del Regolamento, in sede referente, alla II Commissione (Giustizia): "Conversione in legge del decreto-legge 24 agosto 2021, n. 118, recante misure urgenti in materia di crisi d'impresa e di risanamento aziendale, nonché ulteriori misure urgenti in materia di giustizia" (3270) – Parere delle Commissioni I, V, VI (ex articolo 73, comma 1-bis, del Regolamento, per gli aspetti attinenti alla materia tributaria), X, XI, XIII e XIV e della Commissione parlamentare per le questioni regionali. Il suddetto disegno di legge, ai fini dell'espressione del parere previsto dal comma 1 del predetto articolo 96-bis, è stato altresì assegnato al Comitato per la legislazione.	
			Ordine del giorno della prossima seduta.
FABIO RAMPELLI	PRESIDENTE	Comunico che, come stabilito nella riunione della Conferenza dei presidenti di gruppo del 24 agosto, nella seduta del 7 settembre, alle ore 16, avrà luogo un’informativa urgente del Governo sugli sviluppi della situazione in Afghanistan.	
			La seduta termina alle 12,45.
			IL CONSIGLIERE CAPO
			DEL SERVIZIO RESOCONTI
			ESTENSORE DEL PROCESSO VERBALE
			Dott. Renzo Dickmann
			Licenziato per la stampa alle 13,40.
