speaker	role	text	extra
			PRESIDENZA DELLA VICEPRESIDENTE MARIA EDERA SPADONI
			La seduta comincia alle 14.
MARIA EDERA SPADONI	PRESIDENTE	La seduta è aperta. Invito il deputato segretario a dare lettura del processo verbale della seduta precedente.	
ALESSANDRO AMITRANO		Segretario, legge il processo verbale della seduta del 15 giugno 2020.	
			Missioni.
MARIA EDERA SPADONI	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Trasmissione dal Senato di un disegno di legge di conversione e sua assegnazione a Commissione in sede referente.
MARIA EDERA SPADONI	PRESIDENTE	Comunico che non vi sono ulteriori deputati in missione a partire dalla seduta odierna. I deputati in missione sono complessivamente settantasei, come risulta dall’elenco depositato presso la Presidenza, che sarà pubblicato nell’allegato A al resoconto della seduta odierna.	
			Sui lavori dell’Assemblea.
MARIA EDERA SPADONI	PRESIDENTE	La Presidente del Senato, con lettera in data 17 giugno 2020, ha trasmesso alla Presidenza il seguente disegno di legge, che è stato assegnato, ai sensi dell’articolo 96-bis, comma 1, del Regolamento, in sede referente, alla II Commissione (Giustizia): S. 1786. – “Conversione in legge, con modificazioni, del decreto-legge 30 aprile 2020, n. 28, recante misure urgenti per la funzionalità dei sistemi di intercettazioni di conversazioni e comunicazioni, ulteriori misure urgenti in materia di ordinamento penitenziario, nonché disposizioni integrative e di coordinamento in materia di giustizia civile, amministrativa e contabile e misure urgenti per l’introduzione del sistema di allerta Covid-19” (approvato dal Senato) (2547) - Parere delle Commissioni I, V, IX, XII, XIV e della Commissione parlamentare per le questioni regionali. Il suddetto disegno di legge, ai fini dell’espressione del parere previsto dal comma 1 del predetto articolo 96-bis, è stato altresì assegnato al Comitato per la legislazione.	
			Ordine del giorno della prossima seduta.
MARIA EDERA SPADONI	PRESIDENTE	Comunico che, a seguito dell’odierna riunione della Conferenza dei Presidenti di gruppo, è stato convenuto che la discussione sulle linee generali del disegno di legge n. 2547 – Conversione in legge del decreto-legge in materia di intercettazioni e ordinamento penitenziario (approvato dal Senato – scadenza: 29 giugno 2020), prevista per la seduta di domani, venerdì 19 giugno, non avrà luogo. L’esame del provvedimento sarà previsto a partire da martedì 23 giugno, alle ore 10 e con votazioni non prima delle ore 14, con prosecuzione nei giorni successivi e votazione finale entro le ore 14 di giovedì 25 giugno. Il termine per la presentazione di eventuali questioni pregiudiziali è fissato alle ore 18 di lunedì 22 giugno. Conseguentemente, è stato altresì convenuto che l’esame del disegno di legge n. 2500 - Conversione in legge del decreto-legge 19 maggio 2020, n. 34, recante misure urgenti in materia di salute, sostegno al lavoro e all'economia, nonché di politiche sociali connesse all'emergenza epidemiologica da COVID-19 (da inviare al Senato – scadenza: 18 luglio 2020), previsto dal calendario dei lavori a partire da mercoledì 24 giugno, sarà differito alla seduta di lunedì 29 giugno, alle ore 10, con votazioni non prima delle ore 16 e proseguirà nelle giornate successive. Inoltre, facendo seguito ad una richiesta avanzata all’unanimità in seno all’Ufficio di presidenza, integrato dai rappresentanti dei gruppi, della Commissione affari costituzionali, l’avvio della discussione in Assemblea della proposta di legge costituzionale di iniziativa popolare n. 14 - Norme per l'attuazione della separazione delle carriere giudicante e requirente della magistratura, previsto dal calendario dei lavori a far data da lunedì 29 giugno, è stato differito ad altra data, che potrà essere stabilita in occasione della predisposizione del calendario dei lavori dell’Assemblea per il mese di luglio.	
			La seduta termina alle 14,05.
			IL CONSIGLIERE CAPO
			DEL SERVIZIO RESOCONTI
			ESTENSORE DEL PROCESSO VERBALE
			Dott. Renzo Dickmann
			Licenziato per la stampa alle 15,40.
