speaker	role	text	extra
			PRESIDENZA DEL PRESIDENTE ROBERTO FICO
			La seduta comincia alle 11.
ROBERTO FICO	PRESIDENTE	La seduta è aperta. Invito il deputato segretario provvisorio a dare lettura del processo verbale della seduta precedente.	
EDMONDO CIRIELLI	Segretario provvisorio	legge il processo verbale della seduta del 23 marzo 2018.	
			Missioni.
ROBERTO FICO	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Annunzio dell’elezione della Presidente del Senato.
ROBERTO FICO	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, le deputate Madia e Ravetto sono in missione a decorrere dalla seduta odierna. Le deputate in missione sono complessivamente due, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Annunzio della costituzione del Consiglio di Presidenza del Senato.
ROBERTO FICO	PRESIDENTE	Comunico che, in data 24 marzo 2018, la Presidente del Senato mi ha inviato la seguente lettera: “Onorevole Presidente, mi pregio informarLa che, nella seduta odierna, il Senato della Repubblica mi ha eletta Presidente e che, nella seduta stessa, ha avuto luogo il mio insediamento. Con i migliori saluti. Firmato: Maria Elisabetta Alberti Casellati”. Analoga comunicazione ho inviato in pari data alla Presidente del Senato. A nome mio personale e di tutta l’Assemblea rivolgo alla Presidente Alberti Casellati i più cordiali auguri di buon lavoro.	
			Annunzio della costituzione di gruppi parlamentari e affidamento dei poteri attribuiti dal Regolamento nell’ambito di gruppi parlamentari.
