speaker	role	text	extra
			PRESIDENZA DELLA VICEPRESIDENTE MARIA EDERA SPADONI
			La seduta comincia alle 14.
MARIA EDERA SPADONI	PRESIDENTE	La seduta è aperta. Invito il deputato segretario a dare lettura del processo verbale della seduta precedente.	
ALESSANDRO AMITRANO		Segretario, legge il processo verbale della seduta del 28 giugno 2022.	
			Missioni.
MARIA EDERA SPADONI	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Annunzio delle dimissioni del Governo.
MARIA EDERA SPADONI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati in missione a decorrere dalla seduta odierna sono complessivamente 95, come risulta dall'elenco consultabile presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto stenografico della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Sui lavori dell’Assemblea.
MARIA EDERA SPADONI	PRESIDENTE	Comunico che, in data 14 luglio 2022, il Presidente del Consiglio dei Ministri ha inviato al Presidente della Camera la seguente lettera: “Onorevole Presidente, La informo che in data odierna ho rassegnato al Capo dello Stato le dimissioni del Governo da me presieduto. Il Presidente della Repubblica non ha accolto le dimissioni da me rassegnate e ha invitato il Governo a presentarsi al Parlamento per rendere comunicazioni. Firmato: Mario Draghi”.	
			Assegnazione di disegni di legge a Commissione in sede referente.
MARIA EDERA SPADONI	PRESIDENTE	Comunico che, secondo quanto convenuto nell’odierna riunione della Conferenza dei presidenti di gruppo, nella seduta odierna ed in quella di domani, martedì 19 luglio, non avrà luogo l’esame degli argomenti previsti dal calendario. L’Assemblea sarà convocata nella giornata di domani, alle ore 18, per comunicazioni del Presidente. È stato altresì stabilito di inserire all’ordine del giorno della seduta di venerdì 22 luglio, al termine della discussione congiunta del Conto consuntivo della Camera dei deputati per l’anno finanziario 2021 e del Progetto di bilancio della Camera dei deputati per l’anno finanziario 2022, lo svolgimento della discussione generale della proposta di legge costituzionale n. 3353-B - Modifica all’articolo 119 della Costituzione, concernente il riconoscimento delle peculiarità delle Isole e il superamento degli svantaggi derivanti dall’insularità (approvata, in seconda deliberazione, dal Senato con la maggioranza assoluta dei suoi componenti, già approvata, in prima deliberazione, dal Senato e dalla Camera), già prevista per la seduta odierna.	
			Modifica nella composizione di gruppi parlamentari.
MARIA EDERA SPADONI	PRESIDENTE	A norma del comma 1 dell'articolo 72 del Regolamento, i seguenti disegni di legge sono assegnati alla V Commissione (Bilancio), in sede referente, con il parere di tutte le altre Commissioni permanenti e della Commissione parlamentare per le questioni regionali: «Rendiconto generale dell'Amministrazione dello Stato per l'esercizio finanziario 2021» (3675); «Disposizioni per l'assestamento del bilancio dello Stato per l'anno finanziario 2022» (3676). Ricordo che il programma dei lavori dell'Assemblea prevede che l’esame di tali disegni di legge abbia luogo nel mese di agosto. Le Commissioni dovranno pertanto concluderne l'esame in sede consultiva e in sede referente compatibilmente con i tempi che saranno definiti dalla Conferenza dei presidenti di gruppo in relazione all'iscrizione dei due disegni di legge nel calendario dei lavori dell'Assemblea.	
			Modifica nella composizione dell’ufficio di presidenza del gruppo Misto.
MARIA EDERA SPADONI	PRESIDENTE	Comunico che, con lettera pervenuta in data 14 luglio 2022, la deputata Maria Teresa Baldini, già iscritta al gruppo parlamentare Italia Viva, ha dichiarato di aderire alla componente politica “Coraggio Italia” del gruppo parlamentare Misto. Il rappresentante di tale componente, con lettera pervenuta in data 14 luglio 2022, ha comunicato di avere accolto la richiesta.	
			Ordine del giorno della prossima seduta.
MARIA EDERA SPADONI	PRESIDENTE	Comunico che, come reso noto con lettera pervenuta in data 15 luglio 2022, la componente politica “MAIE-PSI-Facciamoeco”, costituita nell’ambito del gruppo Misto, in data 13 luglio 2022, ha nominato la deputata Rossella Muroni quale rappresentante della componente. Comunico altresì che, con lettera pervenuta in data 18 luglio 2022, il presidente del gruppo parlamentare Misto ha reso noto che la deputata Rossella Muroni è stata nominata vicepresidente del gruppo in rappresentanza della componente politica “MAIE-PSI-Facciamoeco”.	
			La seduta termina alle 14,08.
			IL CONSIGLIERE CAPO
			DEL SERVIZIO RESOCONTI
			ESTENSORE DEL PROCESSO VERBALE
			Dott. Renzo Dickmann
			Licenziato per la stampa alle 15,20.
