speaker	role	text	extra
			PRESIDENZA DEL PRESIDENTE ROBERTO FICO
			La seduta comincia alle 11,30.
ROBERTO FICO	PRESIDENTE	La seduta è aperta. Invito la deputata segretaria a dare lettura del processo verbale della seduta precedente.	
MIRELLA LIUZZI	Segretaria	legge il processo verbale della seduta del 1° agosto 2019.	
			Missioni.
ROBERTO FICO	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Annunzio delle dimissioni del Governo.
ROBERTO FICO	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Borghese, Buffagni, Businarolo, Cirielli, Colletti, Colucci, Davide Crippa, D’Incà, Luigi Di Maio, Di Stefano, Ferraresi, Fraccaro, Garavaglia, Gebhard, Grillo, Lollobrigida, Lorenzin, Lupi, Manzato, Schullian, Sisto, Vacca e Vitiello sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente ventisei, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell'allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Sull’ordine dei lavori.
ROBERTO FICO	PRESIDENTE	Comunico che, in data 20 agosto 2019, il Presidente del Consiglio dei ministri mi ha inviato la seguente lettera: “Onorevole Presidente, La informo che in data odierna ho rassegnato al Capo dello Stato le dimissioni del Gabinetto da me presieduto. Il Presidente della Repubblica ha preso atto e ha invitato il Governo a restare in carica per il disbrigo degli affari correnti. Firmato: Giuseppe Conte”.	
			Modifica nella composizione della Commissione parlamentare di controllo sull’attività degli enti gestori di forme obbligatorie di previdenza e assistenza sociale.
ROBERTO FICO	PRESIDENTE	Come già preannunciato nell’odierna riunione della Conferenza dei presidenti di gruppo, comunico che, a seguito delle dimissioni del Presidente del Consiglio dei ministri, lo svolgimento delle sue comunicazioni previste all’ordine del giorno non avrà luogo.	
			Modifica nella composizione della Commissione parlamentare d’inchiesta sui fatti accaduti presso la comunità “Il Forteto”.
ROBERTO FICO	PRESIDENTE	Comunico che, in data 7 agosto 2019, il Presidente del Senato ha chiamato a far parte della Commissione parlamentare di controllo sull’attività degli enti gestori di forme obbligatorie di previdenza e assistenza sociale il senatore Stefano Corti, in sostituzione della senatrice Anna Cinzia Bonfrisco, cessata dal mandato parlamentare.	
			Interventi di fine seduta.
ROBERTO FICO	PRESIDENTE	Comunico che, in data 7 agosto 2019, il Presidente del Senato ha chiamato a far parte della Commissione parlamentare d’inchiesta sui fatti accaduti presso la Comunità “Il Forteto” il senatore Gianfranco Rufa, in sostituzione della senatrice Rosellina Sbrana, dimissionaria.	
ROBERTO FICO	PRESIDENTE	Ha chiesto di parlare il deputato Fatuzzo. Ne ha facoltà.	
CARLO FATUZZO	FI	Presidente, in questi giorni di ferie, tra virgolette, spaparanzatomi nel soggiorno, accendendo la televisione ho potuto finalmente assistere ad alcune trasmissioni talk show politici. Con mia grande sorpresa, e anche soddisfazione e approvazione, ho constatato che ci sono sempre più talk show che non lasciano urlare i politici intervenuti uno contro l’altro, uno sopra l’altro. È un miglioramento per cui devo esprimere il mio applauso ad alcune di queste trasmissioni che ho potuto vedere, non tutte, perché la mia televisione non prende tutti i canali che ci sono nell’etere. In particolare, Rai Tre, dalle 8 alle 10, Agorà Estate, condotta da Monica Giandotti, e per Mediaset, Rete 4, Stasera Italia Estate, dalle 20,30 alle 21,30…	
ROBERTO FICO	PRESIDENTE	Fatuzzo, proprio la lista dobbiamo fare? Più un concetto generale, sennò sembra…	
			Sui lavori dell’Assemblea.
CARLO FATUZZO	FI	…condotto da Veronica Gentili. Ho finito, Presidente. Complimenti a tutti. Questi talk show corrispondono a un miglioramento nella comunicazione con i cittadini. Mi pare giusto dire anche qualcosa di buono su quello che succede nel nostro Paese, non solo per lamentarci di tante cose. Viva i Pensionati. Pensionati, all’attacco.	
			La seduta termina alle 11,40.
			IL CONSIGLIERE CAPO
			DEL SERVIZIO RESOCONTI
			ESTENSORE DEL PROCESSO VERBALE
			Dott. Renzo Dickmann
			Licenziato per la stampa alle 13,05.
