speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE ROBERTO GIACHETTI
			La seduta comincia alle 11.
ROBERTO GIACHETTI	PRESIDENTE	La seduta è aperta. Invito il deputato segretario a dare lettura del processo verbale della seduta precedente.	
RAFFAELLO VIGNALI	Segretario	legge il processo verbale della seduta del 21 dicembre 2016.	
			Missioni.
ROBERTO GIACHETTI	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Annunzio della presentazione di disegni di legge di conversione e loro assegnazione a Commissioni in sede referente (ore 11,05).
ROBERTO GIACHETTI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Boschi, Fontanelli, Losacco e Orlando sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente nove, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell’allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Annunzio della nomina di sottosegretari di Stato (ore 11,06).
ROBERTO GIACHETTI	PRESIDENTE	La Ministra per i rapporti con il Parlamento, con lettere in data 30 dicembre 2016, ha presentato alla Presidenza i seguenti disegni di legge, che sono stati assegnati, ai sensi dell'articolo 96-bis, comma 1, del Regolamento, in sede referente, alle sottoindicate Commissioni: alla Commissione V (Bilancio): «Conversione in legge del decreto-legge 29 dicembre 2016, n. 243, recante Interventi urgenti per la coesione sociale e territoriale, con particolare riferimento a situazioni critiche in alcune aree del Mezzogiorno» (4200) – Parere delle Commissioni I, II, III, VI, VII, VIII (ex articolo 73, comma 1-bis, del Regolamento), IX, X, XI (ex articolo 73, comma 1-bis, del Regolamento), XII e XIV e della Commissione parlamentare per le questioni regionali; alle Commissioni riunite I (Affari costituzionali) e V (Bilancio): «Conversione in legge del decreto-legge 30 dicembre 2016, n. 244, recante proroga e definizione di termini» (4201) – Parere delle Commissioni II, IV, VI (ex articolo 73, comma 1-bis, del Regolamento, per gli aspetti attinenti alla materia tributaria), VII, VIII, IX, X, XI, XII, XIII e XIV e della Commissione parlamentare per le questioni regionali. I suddetti disegni di legge, ai fini dell'espressione del parere previsto dal comma 1 del predetto articolo 96-bis, sono stati altresì assegnati al Comitato per la legislazione.	
			Modifica nella composizione di gruppi parlamentari (ore 11.08).
ROBERTO GIACHETTI	PRESIDENTE	Il Presidente del Consiglio dei Ministri, con lettera in data 29 dicembre 2016, pervenuta il 30 dicembre 2016, ha comunicato quanto segue: «Onorevole Presidente, informo la S.V. che il Presidente della Repubblica, con proprio decreto in data odierna, adottato su mia proposta, sentito il Consiglio dei Ministri, ha nominato i seguenti Sottosegretari di Stato: alla Presidenza del Consiglio dei Ministri: onorevole dottoressa Maria Teresa Amici; onorevole Gianclaudio Bressa; onorevole dottor Sandro Gozi; senatore Luciano Pizzetti; onorevole dottor Angelo Rughetti; per gli Affari esteri e la cooperazione internazionale: onorevole Vincenzo Amendola; senatore dottor Benedetto Della Vedova; dottor Mario Giro; per l'Interno: onorevole dottor Gianpiero Bocci; senatore dottor Filippo Bubbico; dottor Domenico Manzione; per la Giustizia: senatrice Federica Chiavaroli; dottor Cosimo Maria Ferri; onorevole dottor Gennaro Migliore; per la Difesa: onorevole dottor Gioacchino Alfano; onorevole dottor Domenico Rossi; per l'Economia e le finanze: onorevole Pier Paolo Baretta; onorevole dottor Luigi Casero; onorevole dottoressa Paola De Micheli; dottor Enrico Morando; per lo Sviluppo economico: onorevole Teresa Bellanova; senatore dottor Antonio Gentile; onorevole Antonello Giacomelli; onorevole dottor Ivan Scalfarotto; per le Politiche agricole alimentari e forestali: onorevole Giuseppe Castiglione; senatore professor Andrea Olivero; per l'Ambiente e la tutela del territorio e del mare: signora Barbara Degani; onorevole dottoressa Silvia Velo; per le Infrastrutture e i trasporti: onorevole avvocato Umberto Del Basso De Caro; senatore Riccardo Nencini; senatrice dottoressa Simona Vicari; per il Lavoro e le politiche sociali: onorevole Franca Biondelli; onorevole dottor Luigi Bobba; senatore dottor Massimo Cassano; per l'Istruzione, l'università e la ricerca: dottor Vito De Filippo; senatrice Angela D'Onghia; dottor Gabriele Toccafondi; per i Beni e le attività culturali e il turismo: onorevole dottoressa Dorina Bianchi; onorevole dottoressa Ilaria Carla Anna Borletti Dell'Acqua Buitoni; onorevole dottor Antimo Cesaro; per la Salute: onorevole Davide Faraone. Firmato: Paolo Gentiloni».	
			Ordine del giorno della prossima seduta.
ROBERTO GIACHETTI	PRESIDENTE	Comunico che, con lettera pervenuta in data 29 dicembre 2016, il deputato Bruno Murgia, già iscritto al gruppo parlamentare Misto, ha dichiarato di aderire al gruppo parlamentare Fratelli d'Italia-Alleanza Nazionale. La presidenza di tale gruppo, con lettera pervenuta in pari data, ha comunicato di aver accolto la richiesta.	
			La seduta termina alle 11,10.
