speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE ROBERTO GIACHETTI
			La seduta comincia alle 15.
ROBERTO GIACHETTI	PRESIDENTE	La seduta è aperta. Invito il deputato segretario a dare lettura del processo verbale della seduta precedente.	
GIANNI MELILLA	Segretario	legge il processo verbale della seduta del 21 dicembre 2015.	
			Missioni (ore 15,05).
ROBERTO GIACHETTI	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Annunzio della presentazione di un disegno di legge di conversione e sua assegnazione a Commissioni in sede referente.
ROBERTO GIACHETTI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Angelino Alfano, Borletti Dell'Acqua, Brambilla, Capelli, Castiglione, Fontanelli, Lorenzin e Velo sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente dodici, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell’allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Modifica nella composizione di gruppi parlamentari.
ROBERTO GIACHETTI	PRESIDENTE	Il Presidente del Consiglio dei ministri, con lettera in data 30 dicembre 2015, ha presentato alla Presidenza il seguente disegno di legge, che è stato assegnato, ai sensi dell'articolo 96-bis, comma 1, del Regolamento, in sede referente, alle Commissioni riunite I (Affari costituzionali) e V (Bilancio): «Conversione in legge del decreto-legge 30 dicembre 2015, n. 210, recante proroga di termini previsti da disposizioni legislative » (3513) – Parere delle Commissioni II (ex articolo 73, comma 1-bis, del Regolamento, per le disposizioni in materia di sanzioni), IV, VI (ex articolo 73, comma 1-bis, del Regolamento, per gli aspetti attinenti alla materia tributaria), VII, VIII, IX, X, XI, XII, XIII e XIV e della Commissione parlamentare per le questioni regionali. Il suddetto disegno di legge, ai fini dell'espressione del parere previsto dal comma 1 del predetto articolo 96-bis, è stato altresì assegnato al Comitato per la legislazione.	
			Per la risposta a strumenti del sindacato ispettivo (ore 15,06).
ROBERTO GIACHETTI	PRESIDENTE	Comunico che, con lettera pervenuta in data 19 dicembre 2015, il deputato Francantonio Genovese, già iscritto al gruppo parlamentare Partito Democratico, ha chiesto di aderire al gruppo parlamentare Forza Italia – Il Popolo della Libertà – Berlusconi Presidente. La presidenza di tale gruppo, con lettera pervenuta in data 22 dicembre 2015, ha comunicato di aver accolto la richiesta.	
MASSIMILIANO BERNINI		Chiedo di parlare.	
ROBERTO GIACHETTI	PRESIDENTE	Ne ha facoltà.	
MASSIMILIANO BERNINI		Grazie, Presidente. Intervengo per sollecitare l'interrogazione a mia prima firma n. 5-05706, riguardante le emissioni di mercurio al camino della centrale di Torrevaldaliga nord di Civitavecchia. Noi in questa interrogazione chiediamo una cosa molto semplice, ovvero che sul sito del Ministero dell'ambiente e della tutela del territorio e del mare vengano pubblicate e vengano riportate queste misurazioni, visto che sono una condizione vincolante della VIA, della valutazione di impatto ambientale del 4 novembre 2003. Poi, lo chiediamo perché soprattutto i cittadini hanno il sacrosanto diritto di essere informati riguardo a ciò che respirano.	
PATRIZIA TERZONI		Chiedo di parlare.	
ROBERTO GIACHETTI	PRESIDENTE	Ne ha facoltà.	
PATRIZIA TERZONI		Grazie, Presidente. Vorrei sollecitare l'interrogazione 5-07260 del 18 dicembre 2015, che riguarda i punti nascita, la soppressione dei punti nascita. Mi riferisco, in particolare, alla regione Marche e le vorrei far vedere la cartina della regione Marche. Quelli segnati in nero sono gli unici punti nascita che...	
ROBERTO GIACHETTI	PRESIDENTE	Tanto non si vede, onorevole Terzoni.	
PATRIZIA TERZONI		che rimarranno sul territorio (le persone a casa comunque lo sanno). Tutto l'entroterra non avrà più un ospedale dove poter partorire. Questa, credo, non sia una cosa buona e giusta, in quanto almeno devono percorrere circa 30, 40 o 50 minuti di macchina per arrivare a un ospedale e se qualche mamma o futura mamma, un feto o un neonato avranno dei problemi a causa di questo noi abbiamo un responsabile, che è il presidente della regione Marche, del Partito Democratico, che si chiama Luca Ceriscioli.	
MARCO DA VILLA		Chiedo di parlare.	
ROBERTO GIACHETTI	PRESIDENTE	Ne ha facoltà.	
			Ordine del giorno della prossima seduta.
MARCO DA VILLA		Grazie, Presidente. Vorrei sollecitare la risposta a diversi atti di sindacato ispettivo: l'interrogazione a risposta scritta n. 4-08724 del 9 aprile 2015, sulle competenze della commissione di salvaguardia in materia di autorizzazioni paesaggistiche rilasciate dal comune di Venezia; l'interrogazione n. 5-02380, del 17 marzo 2014, sull'utilizzo delle cosiddette «barche blu» presso il comune di Venezia; la n. 5-02790 e la n. 5-02791 – entrambe del 13 maggio 2014 – sulla soprintendenza ai beni culturali di Venezia; la n. 5-06717, del 20 ottobre 2015, riguardo alle gravose condizioni in cui sono costretti a vivere i detenuti e ad operare gli agenti di polizia penitenziaria della casa circondariale «Santa Maria Maggiore» di Venezia; la n. 5-06957, dell'11 novembre 2015, concernente il recupero ad uso pubblico dell'isola di Poveglia, nella laguna di Venezia. Inoltre, sollecito tutte le altre interrogazioni a mia prima firma, alcune anche molto datate ma il cui argomento è sicuramente ancora di attualità.	
			La seduta termina alle 15,10.
