speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE SIMONE BALDELLI
			La seduta comincia alle 10.
			Missioni.
FERDINANDO ADORNATO	Segretario	legge il processo verbale della seduta del 13 dicembre 2013. (È approvato).	
			Annunzio di petizioni (10,02).
SIMONE BALDELLI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Angelino Alfano, Gioacchino Alfano, Alfreider, Amendola, Amici, Attaguile, Baretta, Bergamini, Berretta, Dorina Bianchi, Bindi, Bocci, Bonafede, Michele Bordo, Borghi, Borletti Dell'Acqua, Brambilla, Bray, Brunetta, Bruno Bossio, Caparini, Carrozza, Casero, Castiglione, Cicchitto, D'Alia, D'Uva, Dambruoso, De Girolamo, Dell'Aringa, Dellai, Di Gioia, Di Lello, Faraone, Fassina, Fava, Ferranti, Fico, Gregorio Fontana, Fontanelli, Formisano, Franceschini, Galan, Galati, Giachetti, Alberto Giorgetti, Gitti, Gozi, Grande, Guerra, Kyenge, La Russa, Lauricella, Legnini, Leone, Letta, Lorenzin, Lupi, Magorno, Mattiello, Giorgia Meloni, Merlo, Migliore, Mogherini, Naccarato, Orlando, Picchi, Picierno, Pisicchio, Pistelli, Quartapelle Procopio, Ravetto, Realacci, Sani, Sarti, Scopelliti, Speranza, Tabacci, Valeria Valente, Vecchio e Vito sono in missione a decorrere dalla seduta odierna. Pertanto i deputati in missione sono complessivamente ottantacinque, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell’allegato A al resoconto della seduta odierna. Ulteriori comunicazioni all'Assemblea saranno pubblicate nell’allegato A al resoconto della seduta odierna.	
SIMONE BALDELLI	PRESIDENTE	Invito l'onorevole segretario a dare lettura delle petizioni pervenute alla Presidenza, che saranno trasmesse alle sottoindicate Commissioni.	
			Modifica nella composizione dell'ufficio di presidenza di un gruppo parlamentare.
FERDINANDO ADORNATO		Segretario, legge: ANNA CAMPILII, da Parma, e numerosissimi altri cittadini chiedono che non siano approvate le norme, contenute nel disegno di legge di stabilità 2014, in materia di interpretazione dell'ultimo periodo dell'articolo 1 comma 763 della legge n. 296 del 2006, concernente l'efficacia degli atti e delle deliberazioni degli enti previdenziali finalizzati ad assicurarne l'equilibrio finanziario di lungo termine (447) – alla XI Commissione (Lavoro); SALVATORE ACANFORA, da Roma, chiede: la definizione di politiche di sviluppo dell'economia marittima e per il governo delle zone costiere (448) – alle Commissioni riunite VIII (Ambiente) e IX (Trasporti); misure per favorire l'accesso al credito da parte dei cittadini meno abbienti (449) – alla VI Commissione (Finanze); interventi per la riqualificazione dello stadio di Civitavecchia (450) – alla VII Commissione (Cultura); nuove norme in materia di calamità naturali e di risarcimento dei relativi danni (451) – alla VIII Commissione (Ambiente); FRANCESCO DI PASQUALE, da Cancello e Arnone (Caserta), chiede: interventi contro il traffico di armi, nuove norme in materia di vendita delle armi all'estero e incentivi per la riconversione dell'industria bellica (452) – alle Commissioni riunite III (Affari esteri) e X (Attività produttive); controlli per accertare l'eventuale presenza di diossina nel latte materno delle donne residenti nella provincia di Caserta (453) – alla XII Commissione (Affari sociali); interventi a sostegno dei cittadini che hanno difficoltà a rimborsare i mutui contratti per l'acquisto della prima casa (454) – alla VI Commissione (Finanze); VINCENZO GIOVANNI NAPOLI, da Roma, chiede: norme per limitare lo svolgimento di incarichi extragiudiziari da parte dei magistrati (455) – alla II Commissione (Giustizia); l'introduzione della previsione che gli incarichi di Governo possano essere assunti solo da parlamentari, prevedendo altresì la decadenza da parlamentare al momento dell'assunzione dell'incarico (456) – alla I Commissione (Affari costituzionali); il divieto di svolgere qualsiasi attività lavorativa prima del sedicesimo e dopo il settantesimo anno di età (457) – alla XI Commissione (Lavoro); MORENO SGARALLINO, da Terracina (Latina), chiede una regolamentazione più restrittiva per l'esercizio del diritto di sciopero, con l'introduzione di strumenti alternativi per la tutela dei diritti dei lavoratori (458) – alla XI Commissione (Lavoro); MICHELE VECCHIONE, da Alatri (Frosinone), chiede: l'estensione a tutti i soggetti a basso reddito dell'esenzione dal canone di abbonamento alla RAI (459) – alla IX Commissione (Trasporti); l'innalzamento dei limiti di reddito previsti per accedere alle agevolazioni tariffarie nei settori delle telecomunicazioni e dell'energia (460) – alle Commissioni riunite IX (Trasporti) e X (Attività produttive); la riduzione della tassa di circolazione per le categorie sociali più svantaggiate (461) – alla VI Commissione (Finanze).	
			Sull'ordine dei lavori.
