speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE ROBERTO GIACHETTI
			La seduta comincia alle 12,35.
			Missioni.
ANNA MARGHERITA MIOTTO	Segretario	legge il processo verbale della seduta del 26 marzo 2013. (È approvato).	
			Sui lavori della Camera.
ROBERTO GIACHETTI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Balduzzi, Catania e Rigoni sono in missione a decorrere dalla seduta odierna. Pertanto i deputati in missione sono complessivamente cinque, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell’allegato A al resoconto della seduta odierna. Ulteriori comunicazioni all'Assemblea saranno pubblicate nell’allegato A al resoconto della seduta odierna.	
			Sull'ordine dei lavori (ore 12,38).
ROBERTO GIACHETTI	PRESIDENTE	Comunico che, a seguito dell'odierna riunione della Conferenza dei presidenti di gruppo, è stato stabilito che martedì 9 aprile, alle ore 15, avrà luogo l'esame dei seguenti argomenti: deliberazione sull'integrazione della competenza della Commissione speciale già istituita, con deliberazione dell'Assemblea del 26 marzo 2013, ai sensi dell'articolo 22, comma 2, del Regolamento, in riferimento al disegno di legge di conversione del decreto-legge in materia di pagamenti alle imprese da parte delle pubbliche amministrazioni (preannunciato dal Governo – ove presentato alla Camera); comunicazioni del Governo ai sensi dell'articolo 2, comma 4, della legge 5 maggio 2009, n. 42, in relazione al testo, con modificazioni, dello schema di decreto legislativo recante disposizioni integrative e correttive del decreto legislativo 18 aprile 2012, n. 61, recante ulteriori disposizioni in materia di ordinamento di Roma capitale, corredato dalle osservazioni del Governo. L'organizzazione dei tempi per la discussione sulle comunicazioni del Governo sarà pubblicata in calce al resoconto stenografico della seduta odierna.	
GIULIA GRILLO		Chiedo di parlare.	
ROBERTO GIACHETTI	PRESIDENTE	Ne ha facoltà.	
GIULIA GRILLO		Signor Presidente, deputati colleghi, premesso che nelle prossime settimane andranno in scadenza le nomine dei vertici delle più importanti società partecipate (quali gruppo Ferrovie dello Stato, gruppo Poste italiane, gruppo Finmeccanica, Cassa depositi e prestiti e gruppo ENEL) e premesso che queste nomine sono di competenza del Governo, che l'attuale Governo è dimissionario, che ci sono dubbi sulla sua piena operatività e che le Commissioni parlamentari non sono ancora state costituite, il MoVimento 5 Stelle chiede che il Presidente del Consiglio venga in Aula a riferire se il Governo intenda assolvere a questo compito o delegarlo ad un nuovo Governo. In ogni caso, è intenzione del MoVimento 5 Stelle garantire la massima trasparenza nelle nomine che comportano una partecipazione statale, quindi dei cittadini. Chiediamo che vengano indicati i criteri in base ai quali si sceglieranno le figure preposte a ricoprire questi incarichi, che i curricula dei candidati, prima della loro nomina, vengano pubblicati on line sul sito istituzionale del Governo, in modo tale che possa essere esercitato al meglio il potere di controllo da parte del Parlamento e dei cittadini e che vengano scelte personalità competenti, che non versino in situazioni di conflitto di interessi e che possano, con la loro professionalità, operare con l'unico scopo dell'interesse pubblico, senza condizionamenti di sorta (Applausi dei deputati del gruppo MoVimento 5 Stelle).	
			Ordine del giorno della prossima seduta.
ROBERTO GIACHETTI	PRESIDENTE	Onorevole Grillo, la ringrazio. Come lei può vedere, il Governo è presente e ha ascoltato e, come lei sa, il Governo è dimissionario. Ovviamente, come accaduto per altre questioni che hanno riguardato l'attività del Governo, la Presidenza rimetterà anche alla Conferenza dei presidenti di gruppo una valutazione sulle considerazioni che lei adesso ha svolto.	
			La seduta termina alle 12,40.
			ORGANIZZAZIONE DEI TEMPI RELATIVI ALLE COMUNICAZIONI DEL GOVERNO SULLO SCHEMA DI DECRETO LEGISLATIVO CORRETTIVO SU ROMA CAPITALE
			Comunicazioni del Governo sullo schema di decreto legislativo correttivo su Roma capitale
