speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE SIMONE BALDELLI
			La seduta comincia alle 15.
SIMONE BALDELLI	PRESIDENTE	Invito l'onorevole Gadda a dare lettura del processo verbale della seduta precedente in luogo dei deputati segretari, impegnati in questo momento nello scrutinio delle schede delle votazioni del Parlamento in seduta comune.	
MARIA CHIARA GADDA	Segretario f.f.	legge il processo verbale della seduta di ieri. (È approvato – Applausi).	
			Missioni.
SIMONE BALDELLI	PRESIDENTE	La ringrazio onorevole Gadda, anche per il successo ottenuto nella sua nuova veste, seppure estemporanea.	
			Sui lavori dell'Assemblea.
SIMONE BALDELLI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Boccia, Bratti, Caparini, Fraccaro, Manciulli, Sanga, Sani e Schullian sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente novantuno, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell’allegato A al resoconto della seduta odierna. Ulteriori comunicazioni all'Assemblea saranno pubblicate nell’allegato A al resoconto della seduta odierna.	
			Ordine del giorno della seduta di domani.
SIMONE BALDELLI	PRESIDENTE	Avverto che, secondo le intese intercorse tra i gruppi, l'esame degli argomenti previsti per la seduta odierna si intende rinviato a martedì 16 settembre secondo l'ordine degli argomenti previsto dal vigente calendario dei lavori.	
			La seduta termina alle 15,05.
