speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE SIMONE BALDELLI
			La seduta comincia alle 15,30.
			Missioni.
CLAUDIA MANNINO	Segretario	legge il processo verbale della seduta del 10 dicembre 2014. (È approvato).	
			Sull'ordine dei lavori.
SIMONE BALDELLI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, il deputato Molea è in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente sessantuno, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell’allegato A al resoconto della seduta odierna. Ulteriori comunicazioni all'Assemblea saranno pubblicate nell’allegato A al resoconto della seduta odierna.	
			La seduta, sospesa alle 15,35, è ripresa alle 16,48.
			Sui lavori dell'Assemblea.
SIMONE BALDELLI	PRESIDENTE	Come sapete, il Senato ha approvato, nelle prime ore di oggi, i documenti di bilancio. I disegni di legge sono in corso di trasmissione, che avverrà verosimilmente nel tardo pomeriggio. Poiché la Conferenza dei presidenti di gruppo è convocata per le ore 16, sospendo la seduta, che riprenderà al termine di tale riunione. La seduta è sospesa.	
			Modifica nella composizione della Commissione parlamentare per le questioni regionali.
SIMONE BALDELLI	PRESIDENTE	A seguito della odierna riunione della Conferenza dei presidenti di gruppo, è stato stabilito che, ove i documenti di bilancio siano trasmessi in tempo utile, domani, domenica 21 dicembre, alle ore 18,30, con prosecuzione notturna, avrà luogo la discussione generale congiunta dei disegni di legge n. 2679-bis-B – Disposizioni per la formazione del bilancio annuale e pluriennale dello Stato (legge di stabilità 2015) e n. 2680-B – Bilancio di previsione dello Stato per l'anno finanziario 2015 e bilancio pluriennale per il triennio 2015-2017 (approvati dalla Camera e modificati dal Senato). Lunedì 22 dicembre (ore 11 e pomeridiana, con eventuale prosecuzione notturna e nella giornata di martedì 23 dicembre) (con votazioni) avrà luogo il seguito dell'esame dei disegni di legge n. 2679-bis-B – Disposizioni per la formazione del bilancio annuale e pluriennale dello Stato (legge di stabilità 2015) e n. 2680-B – Bilancio di previsione dello Stato per l'anno finanziario 2015 e bilancio pluriennale per il triennio 2015-2017 (approvati dalla Camera e modificati dal Senato). L'organizzazione dei tempi per l'esame dei disegni di legge di stabilità e di bilancio sarà pubblicata in calce al resoconto stenografico della seduta odierna.	
			Ordine del giorno della seduta di domani.
SIMONE BALDELLI	PRESIDENTE	Comunico che la Presidente della Camera ha chiamato a far parte della Commissione parlamentare per le questioni regionali il deputato Gianpiero D'Alia in sostituzione dell'onorevole Francesco Sanna, dimissionario.	
			La seduta termina alle 16,50.
			ORGANIZZAZIONE DEI TEMPI DI ESAME DEI DISEGNI DI LEGGE N. 2679-bis-B - LEGGE DI STABILITÀ E N. 2680-B - BILANCIO DI PREVISIONE DELLO STATO
			Ddl 2680-B - Bilancio di previsione dello Stato
			Ddl 2679-bis-B - Legge di stabilità
