speaker	role	text	extra
			PRESIDENZA DEL VICEPRESIDENTE ROBERTO GIACHETTI
			La seduta comincia alle 11.
ROBERTO GIACHETTI	PRESIDENTE	La seduta è aperta. Invito il deputato segretario a dare lettura del processo verbale della seduta precedente.	
GIANNI MELILLA	Segretario	legge il processo verbale della seduta del 5 agosto 2016.	
			Missioni.
ROBERTO GIACHETTI	PRESIDENTE	Se non vi sono osservazioni, il processo verbale si intende approvato. (È approvato).	
			Annunzio della presentazione di un disegno di legge di conversione e sua assegnazione a Commissione in sede referente.
ROBERTO GIACHETTI	PRESIDENTE	Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Angelino Alfano, Gioacchino Alfano, Bocci, Bonifazi, Bressa, Capelli, Castelli, Castiglione, Centemero, Antimo Cesaro, Costa, Dambruoso, De Micheli, Del Basso De Caro, Dellai, Fedriga, Fico, Fioroni, Fontanelli, Gozi, Losacco, Lotti, Migliore, Nicoletti, Orlando, Realacci, Sanga, Santerini, Valeria Valente e Zampa sono in missione a decorrere dalla seduta odierna. I deputati in missione sono complessivamente trentasei, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell’allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).	
			Modifica nella costituzione del Comitato per la legislazione.
ROBERTO GIACHETTI	PRESIDENTE	Il Presidente del Consiglio dei ministri, con lettera in data 31 agosto 2016, ha presentato alla Presidenza il seguente disegno di legge, che è stato assegnato, ai sensi dell'articolo 96-bis, comma 1, del Regolamento, in sede referente, alla II Commissione (Giustizia): «Conversione in legge del decreto-legge 31 agosto 2016, n. 168, recante misure urgenti per la definizione del contenzioso presso la Corte di cassazione, per l'efficienza degli uffici giudiziari, nonché per la giustizia amministrativa» (4025) – Parere delle Commissioni I, V e XI (ex articolo 73, comma 1-bis, del Regolamento, relativamente alle disposizioni in materia previdenziale). Il suddetto disegno di legge, ai fini dell'espressione del parere previsto dal comma 1 del predetto articolo 96-bis, è stato altresì assegnato al Comitato per la legislazione.	
			Ordine del giorno della prossima seduta.
ROBERTO GIACHETTI	PRESIDENTE	Comunico che mercoledì 7 settembre verrà a scadenza il quarto turno di presidenza del Comitato per la legislazione del deputato Gianluca Pini. Ai sensi dell'articolo 16-bis, comma 2, del Regolamento, e sulla base dei criteri stabiliti dalla Giunta per il Regolamento il 16 ottobre 2001: le funzioni di presidente del Comitato per il quinto turno di presidenza saranno assunte – a decorrere dall'8 settembre – dal deputato Andrea Giorgis; le funzioni di vicepresidente saranno assunte dal deputato Tancredi Turco, cui spetterà il successivo turno di presidenza. Le funzioni di segretario resteranno affidate alla deputata Francesca Businarolo.	
			La seduta termina alle 11,05.
